parsed_smell,parsed_smell_identifiers,message
"
				43 Parameter
					43 IdentifierName","
				43 Parameter
					43 IdentifierName ParsingContext",Remove this unused method parameter 'context'.
"
								111 LocalDeclarationStatement
									111 VariableDeclaration
										111 IdentifierName
										111 VariableDeclarator
											111 EqualsValueClause
												111 ObjectCreationExpression
													111 GenericName
														111 TypeArgumentList
															111 IdentifierName
													111 ArgumentList","
								111 LocalDeclarationStatement
									111 VariableDeclaration
										111 IdentifierName var
										111 VariableDeclarator
											111 EqualsValueClause
												111 ObjectCreationExpression
													111 GenericName
														111 TypeArgumentList
															111 IdentifierName IOpenApiAny
													111 ArgumentList",Remove the unused local variable 'newProperty'.
"
		143 MethodDeclaration
			143 IdentifierName
			143 ParameterList
				143 Parameter
					143 IdentifierName
			144 Block
				145 LocalDeclarationStatement
					145 VariableDeclaration
						145 IdentifierName
						145 VariableDeclarator
							145 EqualsValueClause
								145 InvocationExpression
									145 SimpleMemberAccessExpression
										145 IdentifierName
										145 IdentifierName
									145 ArgumentList
				146 ReturnStatement
					146 InvocationExpression
						146 SimpleMemberAccessExpression
							146 IdentifierName
							146 IdentifierName
						146 ArgumentList
							146 Argument
								146 IdentifierName","
		143 MethodDeclaration
			143 IdentifierName RuntimeExpression
			143 ParameterList
				143 Parameter
					143 IdentifierName ParseNode
			144 Block
				145 LocalDeclarationStatement
					145 VariableDeclaration
						145 IdentifierName var
						145 VariableDeclarator
							145 EqualsValueClause
								145 InvocationExpression
									145 SimpleMemberAccessExpression
										145 IdentifierName node
										145 IdentifierName GetScalarValue
									145 ArgumentList
				146 ReturnStatement
					146 InvocationExpression
						146 SimpleMemberAccessExpression
							146 IdentifierName RuntimeExpression
							146 IdentifierName Build
						146 ArgumentList
							146 Argument
								146 IdentifierName value",Remove the unused private method 'LoadRuntimeExpression'.
"
		32 FieldDeclaration
			32 VariableDeclaration
				32 GenericName
					32 TypeArgumentList
						32 IdentifierName
						32 GenericName
							32 TypeArgumentList
								32 IdentifierName
								32 PredefinedType
				32 VariableDeclarator
					32 EqualsValueClause
						32 ObjectCreationExpression
							32 GenericName
								32 TypeArgumentList
									32 IdentifierName
									32 GenericName
										32 TypeArgumentList
											32 IdentifierName
											32 PredefinedType","
		32 FieldDeclaration
			32 VariableDeclaration
				32 GenericName
					32 TypeArgumentList
						32 IdentifierName Type
						32 GenericName
							32 TypeArgumentList
								32 IdentifierName ParseNode
								32 PredefinedType
				32 VariableDeclarator
					32 EqualsValueClause
						32 ObjectCreationExpression
							32 GenericName
								32 TypeArgumentList
									32 IdentifierName Type
									32 GenericName
										32 TypeArgumentList
											32 IdentifierName ParseNode
											32 PredefinedType",Make '_loaders' 'readonly'.
"
						168 IfStatement
							168 EqualsExpression
								168 ElementAccessExpression
									168 IdentifierName
									168 BracketedArgumentList
										168 Argument
											168 NumericLiteralExpression
								168 StringLiteralExpression","
						168 IfStatement
							168 EqualsExpression
								168 ElementAccessExpression
									168 IdentifierName segments
									168 BracketedArgumentList
										168 Argument
											168 NumericLiteralExpression
								168 StringLiteralExpression",Merge this if statement with the enclosing one.
"
		54 FieldDeclaration
			54 VariableDeclaration
				54 IdentifierName
				54 VariableDeclarator
					54 EqualsValueClause
						54 ObjectCreationExpression
							54 IdentifierName
							54 ArgumentList","
		54 FieldDeclaration
			54 VariableDeclaration
				54 IdentifierName HttpClient
				54 VariableDeclarator
					54 EqualsValueClause
						54 ObjectCreationExpression
							54 IdentifierName HttpClient
							54 ArgumentList",Make '_httpClient' 'readonly'.
"
				170 SetAccessorDeclaration
					170 ArrowExpressionClause
						170 SimpleAssignmentExpression
							170 IdentifierName
							170 SimpleMemberAccessExpression
								170 IdentifierName
								170 IdentifierName","
				170 SetAccessorDeclaration
					170 ArrowExpressionClause
						170 SimpleAssignmentExpression
							170 IdentifierName Format
							170 SimpleMemberAccessExpression
								170 IdentifierName OpenApiFormat
								170 IdentifierName Yaml",Use the 'value' parameter in this property set accessor declaration.
"
				176 SetAccessorDeclaration
					176 ArrowExpressionClause
						176 SimpleAssignmentExpression
							176 IdentifierName
							176 SimpleMemberAccessExpression
								176 IdentifierName
								176 IdentifierName","
				176 SetAccessorDeclaration
					176 ArrowExpressionClause
						176 SimpleAssignmentExpression
							176 IdentifierName Format
							176 SimpleMemberAccessExpression
								176 IdentifierName OpenApiFormat
								176 IdentifierName Json",Use the 'value' parameter in this property set accessor declaration.
"
				182 SetAccessorDeclaration
					182 ArrowExpressionClause
						182 SimpleAssignmentExpression
							182 IdentifierName
							182 SimpleMemberAccessExpression
								182 IdentifierName
								182 IdentifierName","
				182 SetAccessorDeclaration
					182 ArrowExpressionClause
						182 SimpleAssignmentExpression
							182 IdentifierName Version
							182 SimpleMemberAccessExpression
								182 IdentifierName OpenApiSpecVersion
								182 IdentifierName OpenApi2_0",Use the 'value' parameter in this property set accessor declaration.
"
				188 SetAccessorDeclaration
					188 ArrowExpressionClause
						188 SimpleAssignmentExpression
							188 IdentifierName
							188 SimpleMemberAccessExpression
								188 IdentifierName
								188 IdentifierName","
				188 SetAccessorDeclaration
					188 ArrowExpressionClause
						188 SimpleAssignmentExpression
							188 IdentifierName Version
							188 SimpleMemberAccessExpression
								188 IdentifierName OpenApiSpecVersion
								188 IdentifierName OpenApi3_0",Use the 'value' parameter in this property set accessor declaration.
"
											249 ExpressionStatement
												249 SimpleAssignmentExpression
													249 SimpleMemberAccessExpression
														249 IdentifierName
														249 IdentifierName
													249 ObjectCreationExpression
														249 IdentifierName
														249 ArgumentList
															249 Argument
																249 AddExpression
																	249 AddExpression
																		249 StringLiteralExpression
																		249 InvocationExpression
																			249 SimpleMemberAccessExpression
																				249 IdentifierName
																				249 IdentifierName
																			249 ArgumentList
																				249 Argument
																					249 IdentifierName
																	249 StringLiteralExpression","
											249 ExpressionStatement
												249 SimpleAssignmentExpression
													249 SimpleMemberAccessExpression
														249 IdentifierName settings
														249 IdentifierName BaseUrl
													249 ObjectCreationExpression
														249 IdentifierName Uri
														249 ArgumentList
															249 Argument
																249 AddExpression
																	249 AddExpression
																		249 StringLiteralExpression
																		249 InvocationExpression
																			249 SimpleMemberAccessExpression
																				249 IdentifierName Path
																				249 IdentifierName GetDirectoryName
																			249 ArgumentList
																				249 Argument
																					249 IdentifierName _inputFile
																	249 StringLiteralExpression",Remove this hardcoded path-delimiter.
"
		325 MethodDeclaration
			325 IdentifierName
			325 ParameterList
				325 Parameter
					325 PredefinedType","
		325 MethodDeclaration
			325 IdentifierName MemoryStream
			325 ParameterList
				325 Parameter
					325 PredefinedType",Member 'CreateStream' does not access instance data and can be marked as static
"
		17 MethodDeclaration
			17 PredefinedType
			17 ParameterList
				17 Parameter
					17 IdentifierName","
		17 MethodDeclaration
			17 PredefinedType
			17 ParameterList
				17 Parameter
					17 IdentifierName OpenApiParameter",All 'Visit' method overloads should be adjacent.
"
		66 MethodDeclaration
			66 PredefinedType
			66 ParameterList
				66 Parameter
					66 IdentifierName","
		66 MethodDeclaration
			66 PredefinedType
			66 ParameterList
				66 Parameter
					66 IdentifierName OpenApiLink",Rename parameter 'operation' to 'link' to match the base class declaration.
"
	10 ClassDeclaration","
	10 ClassDeclaration",Add a 'protected' constructor or the 'static' keyword to the class declaration.
"
	11 ClassDeclaration
		11 BaseList
			11 SimpleBaseType
				11 GenericName
					11 TypeArgumentList
						11 PredefinedType
						11 IdentifierName
			11 SimpleBaseType
				11 IdentifierName","
	11 ClassDeclaration
		11 BaseList
			11 SimpleBaseType
				11 GenericName
					11 TypeArgumentList
						11 PredefinedType
						11 IdentifierName IOpenApiAny
			11 SimpleBaseType
				11 IdentifierName IOpenApiAny",Update this implementation of 'ISerializable' to conform to the recommended serialization pattern.
"
		21 ConstructorDeclaration
			21 ParameterList
				21 Parameter
					21 IdentifierName","
		21 ConstructorDeclaration
			21 ParameterList
				21 Parameter
					21 IdentifierName T",Change the visibility of this constructor to 'protected'.
"
		30 ConstructorDeclaration
			30 ParameterList
				30 Parameter
					30 GenericName
						30 TypeArgumentList
							30 IdentifierName","
		30 ConstructorDeclaration
			30 ParameterList
				30 Parameter
					30 GenericName
						30 TypeArgumentList
							30 IdentifierName T",Change the visibility of this constructor to 'protected'.
"
		10 FieldDeclaration
			10 VariableDeclaration
				10 PredefinedType
				10 VariableDeclarator","
		10 FieldDeclaration
			10 VariableDeclaration
				10 PredefinedType
				10 VariableDeclarator",Make 'isExplicit' 'readonly'.
"
		11 FieldDeclaration
			11 VariableDeclaration
				11 PredefinedType
				11 VariableDeclarator","
		11 FieldDeclaration
			11 VariableDeclaration
				11 PredefinedType
				11 VariableDeclarator",Make 'isRawString' 'readonly'.
"
	11 ClassDeclaration
		11 BaseList
			11 SimpleBaseType
				11 IdentifierName","
	11 ClassDeclaration
		11 BaseList
			11 SimpleBaseType
				11 IdentifierName Exception",Update this implementation of 'ISerializable' to conform to the recommended serialization pattern.
"
	11 ClassDeclaration
		11 BaseList
			11 SimpleBaseType
				11 IdentifierName","
	11 ClassDeclaration
		11 BaseList
			11 SimpleBaseType
				11 IdentifierName OpenApiException",Update this implementation of 'ISerializable' to conform to the recommended serialization pattern.
"
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName
				15 VariableDeclarator
					15 EqualsValueClause
						15 ObjectCreationExpression
							15 IdentifierName
							15 ArgumentList
								15 Argument
									15 StringLiteralExpression","
		15 FieldDeclaration
			15 VariableDeclaration
				15 IdentifierName Regex
				15 VariableDeclarator
					15 EqualsValueClause
						15 ObjectCreationExpression
							15 IdentifierName Regex
							15 ArgumentList
								15 Argument
									15 StringLiteralExpression",Make 'expressionPattern' 'readonly'.
"
		20 FieldDeclaration
			20 VariableDeclaration
				20 GenericName
					20 TypeArgumentList
						20 IdentifierName
				20 VariableDeclarator
					20 EqualsValueClause
						20 ObjectCreationExpression
							20 GenericName
								20 TypeArgumentList
									20 IdentifierName
							20 ArgumentList","
		20 FieldDeclaration
			20 VariableDeclaration
				20 GenericName
					20 TypeArgumentList
						20 IdentifierName RuntimeExpression
				20 VariableDeclarator
					20 EqualsValueClause
						20 ObjectCreationExpression
							20 GenericName
								20 TypeArgumentList
									20 IdentifierName RuntimeExpression
							20 ArgumentList",Make this field 'private' and encapsulate it in a 'public' property.
"
	12 ClassDeclaration
		12 BaseList
			12 SimpleBaseType
				12 GenericName
					12 TypeArgumentList
						12 IdentifierName","
	12 ClassDeclaration
		12 BaseList
			12 SimpleBaseType
				12 GenericName
					12 TypeArgumentList
						12 IdentifierName RuntimeExpression",Seal class 'RuntimeExpression' or implement 'IEqualityComparer<T>' instead.
,,"Rename class 'OpenAPIWriterExtensions' to match pascal case naming rules, consider using 'OpenApiWriterExtensions'."
,,Replace this type-check-and-cast sequence with an 'as' and a null check.
"
		24 MethodDeclaration
			24 PredefinedType
			24 TypeParameterList
				24 TypeParameter
			24 ParameterList
				24 Parameter
					24 IdentifierName
				24 Parameter
					24 IdentifierName
				24 Parameter
					24 IdentifierName","
		24 MethodDeclaration
			24 PredefinedType
			24 TypeParameterList
				24 TypeParameter
			24 ParameterList
				24 Parameter
					24 IdentifierName T
				24 Parameter
					24 IdentifierName Stream
				24 Parameter
					24 IdentifierName OpenApiSpecVersion",All 'SerializeAsJson' method overloads should be adjacent.
"
		37 MethodDeclaration
			37 PredefinedType
			37 TypeParameterList
				37 TypeParameter
			37 ParameterList
				37 Parameter
					37 IdentifierName
				37 Parameter
					37 IdentifierName
				37 Parameter
					37 IdentifierName","
		37 MethodDeclaration
			37 PredefinedType
			37 TypeParameterList
				37 TypeParameter
			37 ParameterList
				37 Parameter
					37 IdentifierName T
				37 Parameter
					37 IdentifierName Stream
				37 Parameter
					37 IdentifierName OpenApiSpecVersion",All 'SerializeAsYaml' method overloads should be adjacent.
"
		52 MethodDeclaration
			52 PredefinedType
			52 TypeParameterList
				52 TypeParameter
			52 ParameterList","
		52 MethodDeclaration
			52 PredefinedType
			52 TypeParameterList
				52 TypeParameter
			52 ParameterList",All 'Serialize' method overloads should be adjacent.
"
						50 ReturnStatement
							50 ObjectCreationExpression
								50 IdentifierName
								50 ArgumentList
									50 Argument
										50 InvocationExpression
											50 SimpleMemberAccessExpression
												50 InvocationExpression
													50 SimpleMemberAccessExpression
														50 IdentifierName
														50 IdentifierName
													50 ArgumentList
														50 Argument
															50 SubtractExpression
																50 SimpleMemberAccessExpression
																	50 IdentifierName
																	50 IdentifierName
																50 NumericLiteralExpression
												50 IdentifierName
											50 ArgumentList","
						50 ReturnStatement
							50 ObjectCreationExpression
								50 IdentifierName JsonPointer
								50 ArgumentList
									50 Argument
										50 InvocationExpression
											50 SimpleMemberAccessExpression
												50 InvocationExpression
													50 SimpleMemberAccessExpression
														50 IdentifierName Tokens
														50 IdentifierName Take
													50 ArgumentList
														50 Argument
															50 SubtractExpression
																50 SimpleMemberAccessExpression
																	50 IdentifierName Tokens
																	50 IdentifierName Length
																50 NumericLiteralExpression
												50 IdentifierName ToArray
											50 ArgumentList","Refactor 'ParentPointer' into a method, properties should not copy collections."
"
	14 ClassDeclaration
		14 BaseList
			14 SimpleBaseType
				14 IdentifierName
			14 SimpleBaseType
				14 IdentifierName
			14 SimpleBaseType
				14 IdentifierName
			14 SimpleBaseType
				14 GenericName
					14 TypeArgumentList
						14 IdentifierName","
	14 ClassDeclaration
		14 BaseList
			14 SimpleBaseType
				14 IdentifierName IOpenApiSerializable
			14 SimpleBaseType
				14 IdentifierName IOpenApiReferenceable
			14 SimpleBaseType
				14 IdentifierName IOpenApiExtensible
			14 SimpleBaseType
				14 GenericName
					14 TypeArgumentList
						14 IdentifierName OpenApiCallback",'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
"
		110 MethodDeclaration
			110 IdentifierName
			110 ParameterList
				110 Parameter
					110 IdentifierName","
		110 MethodDeclaration
			110 IdentifierName OpenApiCallback
			110 ParameterList
				110 Parameter
					110 IdentifierName OpenApiDocument",Rename parameter 'doc' to 'document' to match the interface declaration.
"
								110 LocalDeclarationStatement
									110 VariableDeclaration
										110 IdentifierName
										110 VariableDeclarator
											110 EqualsValueClause
												110 InvocationExpression
													110 SimpleMemberAccessExpression
														110 InvocationExpression
															110 SimpleMemberAccessExpression
																110 InvocationExpression
																	110 SimpleMemberAccessExpression
																		110 InvocationExpression
																			110 SimpleMemberAccessExpression
																				110 IdentifierName
																				110 GenericName
																					110 TypeArgumentList
																						110 IdentifierName
																			110 ArgumentList
																		110 IdentifierName
																	110 ArgumentList
																110 IdentifierName
															110 ArgumentList","
								110 LocalDeclarationStatement
									110 VariableDeclaration
										110 IdentifierName var
										110 VariableDeclarator
											110 EqualsValueClause
												110 InvocationExpression
													110 SimpleMemberAccessExpression
														110 InvocationExpression
															110 SimpleMemberAccessExpression
																110 InvocationExpression
																	110 SimpleMemberAccessExpression
																		110 InvocationExpression
																			110 SimpleMemberAccessExpression
																				110 IdentifierName schemas
																				110 GenericName
																					110 TypeArgumentList
																						110 IdentifierName OpenApiSchema
																			110 ArgumentList
																		110 IdentifierName Distinct
																	110 ArgumentList
																110 IdentifierName ToList
															110 ArgumentList",Drop this useless call to 'ToList' or replace it by 'AsEnumerable' if you are using LINQ to Entities.
"
								110 LocalDeclarationStatement
									110 VariableDeclaration
										110 IdentifierName
										110 VariableDeclarator
											110 EqualsValueClause
												110 InvocationExpression
													110 SimpleMemberAccessExpression
														110 InvocationExpression
															110 SimpleMemberAccessExpression
																110 InvocationExpression
																	110 SimpleMemberAccessExpression
																		110 InvocationExpression
																			110 SimpleMemberAccessExpression
																				110 IdentifierName
																				110 GenericName
																					110 TypeArgumentList
																						110 IdentifierName
																			110 ArgumentList
																		110 IdentifierName
																	110 ArgumentList
																110 IdentifierName
															110 ArgumentList","
								110 LocalDeclarationStatement
									110 VariableDeclaration
										110 IdentifierName var
										110 VariableDeclarator
											110 EqualsValueClause
												110 InvocationExpression
													110 SimpleMemberAccessExpression
														110 InvocationExpression
															110 SimpleMemberAccessExpression
																110 InvocationExpression
																	110 SimpleMemberAccessExpression
																		110 InvocationExpression
																			110 SimpleMemberAccessExpression
																				110 IdentifierName schemas
																				110 GenericName
																					110 TypeArgumentList
																						110 IdentifierName OpenApiSchema
																			110 ArgumentList
																		110 IdentifierName Distinct
																	110 ArgumentList
																110 IdentifierName ToList
															110 ArgumentList",Remove the unused local variable 'openApiSchemas'.
"
		575 FieldDeclaration
			575 VariableDeclaration
				575 IdentifierName
				575 VariableDeclarator
					575 EqualsValueClause
						575 ObjectCreationExpression
							575 IdentifierName
							575 ArgumentList
								575 Argument
									575 StringLiteralExpression","
		575 FieldDeclaration
			575 VariableDeclaration
				575 IdentifierName Uri
				575 VariableDeclarator
					575 EqualsValueClause
						575 ObjectCreationExpression
							575 IdentifierName Uri
							575 ArgumentList
								575 Argument
									575 StringLiteralExpression",Refactor your code not to use hardcoded absolute paths or URIs.
"
								170 LocalDeclarationStatement
									170 VariableDeclaration
										170 IdentifierName
										170 VariableDeclarator
											170 EqualsValueClause
												170 InvocationExpression
													170 SimpleMemberAccessExpression
														170 InvocationExpression
															170 SimpleMemberAccessExpression
																170 InvocationExpression
																	170 SimpleMemberAccessExpression
																		170 InvocationExpression
																			170 SimpleMemberAccessExpression
																				170 IdentifierName
																				170 GenericName
																					170 TypeArgumentList
																						170 IdentifierName
																			170 ArgumentList
																		170 IdentifierName
																	170 ArgumentList
																170 IdentifierName
															170 ArgumentList","
								170 LocalDeclarationStatement
									170 VariableDeclaration
										170 IdentifierName var
										170 VariableDeclarator
											170 EqualsValueClause
												170 InvocationExpression
													170 SimpleMemberAccessExpression
														170 InvocationExpression
															170 SimpleMemberAccessExpression
																170 InvocationExpression
																	170 SimpleMemberAccessExpression
																		170 InvocationExpression
																			170 SimpleMemberAccessExpression
																				170 IdentifierName schemas
																				170 GenericName
																					170 TypeArgumentList
																						170 IdentifierName OpenApiSchema
																			170 ArgumentList
																		170 IdentifierName Distinct
																	170 ArgumentList
																170 IdentifierName ToList
															170 ArgumentList",Drop this useless call to 'ToList' or replace it by 'AsEnumerable' if you are using LINQ to Entities.
,,Drop this useless call to 'ToList' or replace it by 'AsEnumerable' if you are using LINQ to Entities.
,,Complete the task associated to this 'TODO' comment.
,,Complete the task associated to this 'TODO' comment.
,,Merge this if statement with the enclosing one.
"
						551 IfStatement
							551 LogicalNotExpression
								551 InvocationExpression
									551 SimpleMemberAccessExpression
										551 IdentifierName
										551 IdentifierName
									551 ArgumentList
										551 Argument
											551 SimpleMemberAccessExpression
												551 SimpleMemberAccessExpression
													551 IdentifierName
													551 IdentifierName
												551 IdentifierName","
						551 IfStatement
							551 LogicalNotExpression
								551 InvocationExpression
									551 SimpleMemberAccessExpression
										551 IdentifierName Schemas
										551 IdentifierName ContainsKey
									551 ArgumentList
										551 Argument
											551 SimpleMemberAccessExpression
												551 SimpleMemberAccessExpression
													551 IdentifierName schema
													551 IdentifierName Reference
												551 IdentifierName Id",Merge this if statement with the enclosing one.
"
	13 ClassDeclaration
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 IdentifierName","
	13 ClassDeclaration
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName IOpenApiSerializable
			13 SimpleBaseType
				13 IdentifierName IOpenApiReferenceable
			13 SimpleBaseType
				13 IdentifierName IOpenApiExtensible
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 IdentifierName OpenApiExample",'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
"
		107 MethodDeclaration
			107 IdentifierName
			107 ParameterList
				107 Parameter
					107 IdentifierName","
		107 MethodDeclaration
			107 IdentifierName OpenApiExample
			107 ParameterList
				107 Parameter
					107 IdentifierName OpenApiDocument",Rename parameter 'doc' to 'document' to match the interface declaration.
"
	13 ClassDeclaration
		13 TypeParameterList
			13 TypeParameter
		13 BaseList
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 PredefinedType
						13 IdentifierName","
	13 ClassDeclaration
		13 TypeParameterList
			13 TypeParameter
		13 BaseList
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 PredefinedType
						13 IdentifierName T",Update this implementation of 'ISerializable' to conform to the recommended serialization pattern.
"
				29 Parameter
					29 GenericName
						29 TypeArgumentList
							29 PredefinedType
							29 IdentifierName
					29 EqualsValueClause
						29 NullLiteralExpression","
				29 Parameter
					29 GenericName
						29 TypeArgumentList
							29 PredefinedType
							29 IdentifierName T
					29 EqualsValueClause
						29 NullLiteralExpression","This method signature overlaps the one defined on line 22, the default parameter value can only be used with named arguments."
"
	15 ClassDeclaration
		15 BaseList
			15 SimpleBaseType
				15 IdentifierName
			15 SimpleBaseType
				15 IdentifierName
			15 SimpleBaseType
				15 IdentifierName
			15 SimpleBaseType
				15 GenericName
					15 TypeArgumentList
						15 IdentifierName","
	15 ClassDeclaration
		15 BaseList
			15 SimpleBaseType
				15 IdentifierName IOpenApiSerializable
			15 SimpleBaseType
				15 IdentifierName IOpenApiReferenceable
			15 SimpleBaseType
				15 IdentifierName IOpenApiExtensible
			15 SimpleBaseType
				15 GenericName
					15 TypeArgumentList
						15 IdentifierName OpenApiHeader",'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
"
		147 MethodDeclaration
			147 IdentifierName
			147 ParameterList
				147 Parameter
					147 IdentifierName","
		147 MethodDeclaration
			147 IdentifierName OpenApiHeader
			147 ParameterList
				147 Parameter
					147 IdentifierName OpenApiDocument",Rename parameter 'doc' to 'document' to match the interface declaration.
"
	13 ClassDeclaration
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 IdentifierName","
	13 ClassDeclaration
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName IOpenApiSerializable
			13 SimpleBaseType
				13 IdentifierName IOpenApiReferenceable
			13 SimpleBaseType
				13 IdentifierName IOpenApiExtensible
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 IdentifierName OpenApiLink",'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
"
		117 MethodDeclaration
			117 IdentifierName
			117 ParameterList
				117 Parameter
					117 IdentifierName","
		117 MethodDeclaration
			117 IdentifierName OpenApiLink
			117 ParameterList
				117 Parameter
					117 IdentifierName OpenApiDocument",Rename parameter 'doc' to 'document' to match the interface declaration.
"
	16 ClassDeclaration
		16 BaseList
			16 SimpleBaseType
				16 IdentifierName
			16 SimpleBaseType
				16 IdentifierName
			16 SimpleBaseType
				16 GenericName
					16 TypeArgumentList
						16 IdentifierName
			16 SimpleBaseType
				16 IdentifierName","
	16 ClassDeclaration
		16 BaseList
			16 SimpleBaseType
				16 IdentifierName IOpenApiSerializable
			16 SimpleBaseType
				16 IdentifierName IOpenApiReferenceable
			16 SimpleBaseType
				16 GenericName
					16 TypeArgumentList
						16 IdentifierName OpenApiParameter
			16 SimpleBaseType
				16 IdentifierName IOpenApiExtensible",'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
,,'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
,,'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
"
		19 FieldDeclaration
			19 VariableDeclaration
				19 NullableType
					19 IdentifierName
				19 VariableDeclarator","
		19 FieldDeclaration
			19 VariableDeclaration
				19 NullableType
					19 IdentifierName ParameterStyle
				19 VariableDeclarator",Make this field 'private' and encapsulate it in a 'public' property.
,,Make this field 'private' and encapsulate it in a 'public' property.
,,Make this field 'private' and encapsulate it in a 'public' property.
"
		19 FieldDeclaration
			19 VariableDeclaration
				19 NullableType
					19 IdentifierName
				19 VariableDeclarator","
		19 FieldDeclaration
			19 VariableDeclaration
				19 NullableType
					19 IdentifierName ParameterStyle
				19 VariableDeclarator",Missing XML comment for publicly visible type or member 'OpenApiParameter._style'
,,Missing XML comment for publicly visible type or member 'OpenApiParameter._style'
,,Missing XML comment for publicly visible type or member 'OpenApiParameter._style'
"
		205 MethodDeclaration
			205 IdentifierName
			205 ParameterList
				205 Parameter
					205 IdentifierName","
		205 MethodDeclaration
			205 IdentifierName OpenApiParameter
			205 ParameterList
				205 Parameter
					205 IdentifierName OpenApiDocument",Rename parameter 'doc' to 'document' to match the interface declaration.
,,Rename parameter 'doc' to 'document' to match the interface declaration.
,,Rename parameter 'doc' to 'document' to match the interface declaration.
"
				307 IfStatement
					307 IsExpression
						307 ThisExpression
						307 IdentifierName","
				307 IfStatement
					307 IsExpression
						307 ThisExpression
						307 IdentifierName OpenApiFormDataParameter",Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
,,Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
,,Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
"
					311 ElseClause
						311 IfStatement
							311 IsExpression
								311 ThisExpression
								311 IdentifierName","
					311 ElseClause
						311 IfStatement
							311 IsExpression
								311 ThisExpression
								311 IdentifierName OpenApiBodyParameter",Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
,,Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
,,Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
"
				335 IfStatement
					335 IsExpression
						335 ThisExpression
						335 IdentifierName","
				335 IfStatement
					335 IsExpression
						335 ThisExpression
						335 IdentifierName OpenApiBodyParameter",Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
,,Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
,,Offload the code that's conditional on this type test to the appropriate subclass and remove the condition.
"
					341 ElseClause","
					341 ElseClause",Use curly braces or indentation to denote the code conditionally executed by this 'else'
,,Use curly braces or indentation to denote the code conditionally executed by this 'else'
,,Use curly braces or indentation to denote the code conditionally executed by this 'else'
"
											385 IfStatement
												385 LogicalAndExpression
													385 EqualsExpression
														385 SimpleMemberAccessExpression
															385 ThisExpression
															385 IdentifierName
														385 SimpleMemberAccessExpression
															385 IdentifierName
															385 IdentifierName
													385 EqualsExpression
														385 SimpleMemberAccessExpression
															385 ThisExpression
															385 IdentifierName
														385 TrueLiteralExpression","
											385 IfStatement
												385 LogicalAndExpression
													385 EqualsExpression
														385 SimpleMemberAccessExpression
															385 ThisExpression
															385 IdentifierName Style
														385 SimpleMemberAccessExpression
															385 IdentifierName ParameterStyle
															385 IdentifierName Form
													385 EqualsExpression
														385 SimpleMemberAccessExpression
															385 ThisExpression
															385 IdentifierName Explode
														385 TrueLiteralExpression",Remove the unnecessary Boolean literal(s).
,,Remove the unnecessary Boolean literal(s).
,,Remove the unnecessary Boolean literal(s).
"
	13 ClassDeclaration
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 IdentifierName
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 IdentifierName","
	13 ClassDeclaration
		13 BaseList
			13 SimpleBaseType
				13 IdentifierName IOpenApiSerializable
			13 SimpleBaseType
				13 IdentifierName IOpenApiExtensible
			13 SimpleBaseType
				13 IdentifierName IOpenApiReferenceable
			13 SimpleBaseType
				13 GenericName
					13 TypeArgumentList
						13 IdentifierName OpenApiPathItem",'IOpenApiReferenceable' implements 'IOpenApiSerializable' so 'IOpenApiSerializable' can be removed from the inheritance list.
