parsed_smell,parsed_smell_identifiers,message
"
		 MethodDeclaration
			 PredefinedType
			 TypeParameterList
				 TypeParameter
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
							 PredefinedType
				 Parameter
					 GenericName
						 TypeArgumentList
							 PredefinedType
							 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 TypeParameterList
				 TypeParameter
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
							 PredefinedType
				 Parameter
					 GenericName
						 TypeArgumentList
							 PredefinedType
							 PredefinedType",Refactor
"
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
							 PredefinedType
					 EqualsValueClause
						 NullLiteralExpression
","
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName Result
							 PredefinedType
					 EqualsValueClause
						 NullLiteralExpression",Adjustment
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName Exception",Adjustment
"
						 IfStatement
							 LogicalAndExpression
								 NotEqualsExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 IdentifierName
									 NullLiteralExpression
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 IdentifierName
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
										 Argument
											 DeclarationExpression
												 PredefinedType
												 SingleVariableDesignation
","
						 IfStatement
							 LogicalAndExpression
								 NotEqualsExpression
									 SimpleMemberAccessExpression
										 IdentifierName node
										 IdentifierName RuleId
									 NullLiteralExpression
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName _ruleKeyToIndexMap
										 IdentifierName TryGetValue
									 ArgumentList
										 Argument
											 SimpleMemberAccessExpression
												 IdentifierName node
												 IdentifierName RuleId
										 Argument
											 DeclarationExpression
												 PredefinedType
												 SingleVariableDesignation",Refactor
"
						 IfStatement
							 InvocationExpression
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
								 ArgumentList
									 Argument
										 SimpleMemberAccessExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 IdentifierName
									 Argument
										 DeclarationExpression
											 PredefinedType
											 SingleVariableDesignation
","
						 IfStatement
							 InvocationExpression
								 SimpleMemberAccessExpression
									 IdentifierName _fullyQualifiedLogicalNameToIndexMap
									 IdentifierName TryGetValue
								 ArgumentList
									 Argument
										 SimpleMemberAccessExpression
											 SimpleMemberAccessExpression
												 IdentifierName node
												 IdentifierName LogicalLocation
											 IdentifierName FullyQualifiedName
									 Argument
										 DeclarationExpression
											 PredefinedType
											 SingleVariableDesignation",Refactor
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName FailureLevelSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName FailureLevelSet
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Error
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Warning",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName FailureLevelSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName FailureLevelSet
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Error
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Warning",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName FailureLevelSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName FailureLevelSet
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Error
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Warning",Refactor
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName FailureLevelSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName FailureLevelSet
							 ArgumentList
								 Argument
									 ImplicitArrayCreationExpression
										 ArrayInitializerExpression
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Error
											 SimpleMemberAccessExpression
												 IdentifierName FailureLevel
												 IdentifierName Warning",Refactor
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName
															 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName ResultKindSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName ResultKindSet
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName ResultKind
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName ResultKind
															 IdentifierName Fail",Refactor
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName
															 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName ResultKindSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName ResultKindSet
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName ResultKind
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName ResultKind
															 IdentifierName Fail",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName
															 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName ResultKindSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName ResultKindSet
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName ResultKind
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName ResultKind
															 IdentifierName Fail",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName
															 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName ResultKindSet
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 IdentifierName ResultKindSet
							 ArgumentList
								 Argument
									 ObjectCreationExpression
										 GenericName
											 TypeArgumentList
												 IdentifierName ResultKind
										 ArgumentList
											 Argument
												 ImplicitArrayCreationExpression
													 ArrayInitializerExpression
														 SimpleMemberAccessExpression
															 IdentifierName ResultKind
															 IdentifierName Fail",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName RuntimeConditions",Deficient
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName Notification
				 Parameter
					 IdentifierName ReportingDescriptor",Deficient
"
						 ReturnStatement
","
						 ReturnStatement",Remove
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList",Deficient
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName RuntimeConditions",Deficient
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
				 Parameter
					 IdentifierName
				 Parameter
					 NullableType
						 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName ReportingDescriptor
				 Parameter
					 IdentifierName Result
				 Parameter
					 NullableType
						 PredefinedType",Deficient
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName Notification
				 Parameter
					 IdentifierName ReportingDescriptor",Deficient
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName Notification
				 Parameter
					 IdentifierName ReportingDescriptor",Deficient
"
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 IdentifierName
","
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 IdentifierName Binary",Refactor
"
										 GotoCaseStatement
											 StringLiteralExpression
","
										 GotoCaseStatement
											 StringLiteralExpression",Remove
"
										 GotoCaseStatement
											 StringLiteralExpression
","
										 GotoCaseStatement
											 StringLiteralExpression",Remove
"
										 GotoCaseStatement
											 StringLiteralExpression
","
										 GotoCaseStatement
											 StringLiteralExpression",Remove
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
										 ForEachStatement
											 IdentifierName
											 IdentifierName
","
										 ForEachStatement
											 IdentifierName JObject
											 IdentifierName results",Adjustment
"
														 ForEachStatement
															 IdentifierName
															 IdentifierName
","
														 ForEachStatement
															 IdentifierName JObject
															 IdentifierName suppressions",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
								 ForEachStatement
									 IdentifierName
									 IdentifierName
","
								 ForEachStatement
									 IdentifierName JValue
									 IdentifierName roles",Adjustment
"
						 IfStatement
							 IsPatternExpression
								 ElementAccessExpression
									 IdentifierName
									 BracketedArgumentList
										 Argument
											 StringLiteralExpression
								 DeclarationPattern
									 IdentifierName
									 SingleVariableDesignation
","
						 IfStatement
							 IsPatternExpression
								 ElementAccessExpression
									 IdentifierName physicalLocation
									 BracketedArgumentList
										 Argument
											 StringLiteralExpression
								 DeclarationPattern
									 IdentifierName JValue
									 SingleVariableDesignation",Refactor
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName results",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName aggregateIds",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName results",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName extensions",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName invocations",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName notifications",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName innerExceptions",Adjustment
"
						 IfStatement
							 IsExpression
								 ElementAccessExpression
									 IdentifierName
									 BracketedArgumentList
										 Argument
											 StringLiteralExpression
								 IdentifierName
","
						 IfStatement
							 IsExpression
								 ElementAccessExpression
									 IdentifierName message
									 BracketedArgumentList
										 Argument
											 StringLiteralExpression
								 IdentifierName JToken",Refactor
"
						 IfStatement
							 IsExpression
								 ElementAccessExpression
									 IdentifierName
									 BracketedArgumentList
										 Argument
											 StringLiteralExpression
								 IdentifierName
","
						 IfStatement
							 IsExpression
								 ElementAccessExpression
									 IdentifierName message
									 BracketedArgumentList
										 Argument
											 StringLiteralExpression
								 IdentifierName JToken",Refactor
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
										 ForEachStatement
											 IdentifierName
											 IdentifierName
","
										 ForEachStatement
											 IdentifierName JObject
											 IdentifierName results",Adjustment
"
										 ForEachStatement
											 IdentifierName
											 IdentifierName
","
										 ForEachStatement
											 IdentifierName JObject
											 IdentifierName files",Adjustment
"
				 IfStatement
					 IsPatternExpression
						 ElementAccessExpression
							 IdentifierName
							 BracketedArgumentList
								 Argument
									 StringLiteralExpression
						 DeclarationPattern
							 IdentifierName
							 SingleVariableDesignation
","
				 IfStatement
					 IsPatternExpression
						 ElementAccessExpression
							 IdentifierName run
							 BracketedArgumentList
								 Argument
									 StringLiteralExpression
						 DeclarationPattern
							 IdentifierName JObject
							 SingleVariableDesignation",Remove
"
				 ForEachStatement
					 IdentifierName
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName
							 IdentifierName
						 ArgumentList
","
				 ForEachStatement
					 IdentifierName JObject
					 InvocationExpression
						 SimpleMemberAccessExpression
							 IdentifierName descriptors
							 IdentifierName Children
						 ArgumentList",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName rules",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
										 ForEachStatement
											 IdentifierName
											 IdentifierName
","
										 ForEachStatement
											 IdentifierName JObject
											 IdentifierName results",Adjustment
"
								 IfStatement
									 IsPatternExpression
										 ElementAccessExpression
											 IdentifierName
											 BracketedArgumentList
												 Argument
													 StringLiteralExpression
										 DeclarationPattern
											 IdentifierName
											 SingleVariableDesignation
","
								 IfStatement
									 IsPatternExpression
										 ElementAccessExpression
											 IdentifierName run
											 BracketedArgumentList
												 Argument
													 StringLiteralExpression
										 DeclarationPattern
											 IdentifierName JObject
											 SingleVariableDesignation",Remove
"
				 IfStatement
					 EqualsExpression
						 IdentifierName
						 NullLiteralExpression
					 Block
						 ReturnStatement
							 NullLiteralExpression
","
				 IfStatement
					 EqualsExpression
						 IdentifierName rules
						 NullLiteralExpression
					 Block
						 ReturnStatement
							 NullLiteralExpression",Refactor
"
				 IfStatement
					 EqualsExpression
						 IdentifierName
						 NullLiteralExpression
					 Block
						 ReturnStatement
							 NullLiteralExpression
","
				 IfStatement
					 EqualsExpression
						 IdentifierName files
						 NullLiteralExpression
					 Block
						 ReturnStatement
							 NullLiteralExpression",Refactor
"
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
							 PredefinedType
","
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName LogicalLocation
							 PredefinedType",Remove
"
				 IfStatement
					 EqualsExpression
						 IdentifierName
						 NullLiteralExpression
					 Block
						 ReturnStatement
							 NullLiteralExpression
","
				 IfStatement
					 EqualsExpression
						 IdentifierName logicalLocations
						 NullLiteralExpression
					 Block
						 ReturnStatement
							 NullLiteralExpression",Refactor
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName rules",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName runs",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName inlineExternalPropertiesArray",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName versionControlDetailsArray",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName results",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName codeFlows",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName threadFlows",Adjustment
"
								 ForEachStatement
									 IdentifierName
									 IdentifierName
","
								 ForEachStatement
									 IdentifierName JObject
									 IdentifierName threadFlowLocations",Adjustment
"
						 ForEachStatement
							 IdentifierName
							 IdentifierName
","
						 ForEachStatement
							 IdentifierName JObject
							 IdentifierName invocations",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName hashes",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName invocations",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName JObject
					 IdentifierName notifications",Adjustment
"
								 ForEachStatement
									 IdentifierName
									 IdentifierName
","
								 ForEachStatement
									 IdentifierName JObject
									 IdentifierName innerExceptions",Adjustment
"
								 ForEachStatement
									 IdentifierName
									 IdentifierName
","
								 ForEachStatement
									 IdentifierName JObject
									 IdentifierName currentArray",Adjustment
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName Artifact",Rename
"
						 ForEachStatement
							 IdentifierName
							 SimpleMemberAccessExpression
								 IdentifierName
								 IdentifierName
","
						 ForEachStatement
							 IdentifierName Artifact
							 SimpleMemberAccessExpression
								 IdentifierName _run
								 IdentifierName Artifacts",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName Result",Refactor
"
								 IfStatement
									 LogicalAndExpression
										 NotEqualsExpression
											 IdentifierName
											 NullLiteralExpression
										 EqualsExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 UnaryMinusExpression
												 NumericLiteralExpression
","
								 IfStatement
									 LogicalAndExpression
										 NotEqualsExpression
											 IdentifierName tfl
											 NullLiteralExpression
										 EqualsExpression
											 SimpleMemberAccessExpression
												 IdentifierName tfl
												 IdentifierName Index
											 UnaryMinusExpression
												 NumericLiteralExpression",Adjustment
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName LogicalLocation",Refactor
"
						 IfStatement
							 NotEqualsExpression
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
								 UnaryMinusExpression
									 NumericLiteralExpression
","
						 IfStatement
							 NotEqualsExpression
								 SimpleMemberAccessExpression
									 IdentifierName logicalLocation
									 IdentifierName Index
								 UnaryMinusExpression
									 NumericLiteralExpression",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName ArtifactLocation",Refactor
"
						 IfStatement
							 NotEqualsExpression
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
								 UnaryMinusExpression
									 NumericLiteralExpression
","
						 IfStatement
							 NotEqualsExpression
								 SimpleMemberAccessExpression
									 IdentifierName artifactLocation
									 IdentifierName Index
								 UnaryMinusExpression
									 NumericLiteralExpression",Refactor
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
			 SimpleBaseType
				 IdentifierName
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName BaseLogger
			 SimpleBaseType
				 IdentifierName IDisposable
			 SimpleBaseType
				 IdentifierName IAnalysisLogger",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
				 Parameter
					 IdentifierName
				 Parameter
					 NullableType
						 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName ReportingDescriptor
				 Parameter
					 IdentifierName Result
				 Parameter
					 NullableType
						 PredefinedType",Deficient
"
						 ForEachStatement
							 IdentifierName
							 SimpleMemberAccessExpression
								 IdentifierName
								 IdentifierName
","
						 ForEachStatement
							 IdentifierName Location
							 SimpleMemberAccessExpression
								 IdentifierName result
								 IdentifierName Locations",Refactor
"
						 ForEachStatement
							 IdentifierName
							 SimpleMemberAccessExpression
								 IdentifierName
								 IdentifierName
","
						 ForEachStatement
							 IdentifierName Location
							 SimpleMemberAccessExpression
								 IdentifierName result
								 IdentifierName RelatedLocations",Refactor
"
						 ForEachStatement
							 IdentifierName
							 SimpleMemberAccessExpression
								 IdentifierName
								 IdentifierName
","
						 ForEachStatement
							 IdentifierName Fix
							 SimpleMemberAccessExpression
								 IdentifierName result
								 IdentifierName Fixes",Adjustment
"
				 ForEachStatement
					 IdentifierName
					 IdentifierName
","
				 ForEachStatement
					 IdentifierName ThreadFlowLocation
					 IdentifierName locations",Refactor
"
							 CatchClause
								 CatchDeclaration
									 IdentifierName
								 Block
","
							 CatchClause
								 CatchDeclaration
									 IdentifierName ArgumentException
								 Block",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName IAnalysisContext",Deficient
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName Notification
				 Parameter
					 IdentifierName ReportingDescriptor",Deficient
"
						 ForEachStatement
							 IdentifierName
							 SimpleMemberAccessExpression
								 IdentifierName
								 IdentifierName
","
						 ForEachStatement
							 IdentifierName Location
							 SimpleMemberAccessExpression
								 IdentifierName notification
								 IdentifierName Locations",Refactor
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 PredefinedType
							 ArgumentList
","
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 PredefinedType
							 ArgumentList",Adjustment
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName BackgroundTaskRoutine
				 VariableDeclarator",Adjustment
"
	 ClassDeclaration
","
	 ClassDeclaration",Deficient
"
																		 CatchClause
																			 Block
","
																		 CatchClause
																			 Block",Refactor
"
																		 CatchClause
																			 Block
","
																		 CatchClause
																			 Block",Refactor
"
											 ExpressionStatement
												 InvocationExpression
													 SimpleMemberAccessExpression
														 IdentifierName
														 IdentifierName
													 ArgumentList
														 Argument
															 StringLiteralExpression
","
											 ExpressionStatement
												 InvocationExpression
													 SimpleMemberAccessExpression
														 IdentifierName sb
														 IdentifierName Append
													 ArgumentList
														 Argument
															 StringLiteralExpression",Refactor
"
									 ExpressionStatement
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
												 Argument
													 StringLiteralExpression
","
									 ExpressionStatement
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName sb
												 IdentifierName Append
											 ArgumentList
												 Argument
													 StringLiteralExpression",Refactor
