parsed_smell,parsed_smell_identifiers,message,message_encoded
"
									 IfStatement
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
												 Argument
													 IdentifierName
","
									 IfStatement
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName INT_CACHE
												 IdentifierName ContainsKey
											 ArgumentList
												 Argument
													 IdentifierName value",Refactor,2
"
									 IfStatement
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName
												 IdentifierName
											 ArgumentList
												 Argument
													 IdentifierName
","
									 IfStatement
										 InvocationExpression
											 SimpleMemberAccessExpression
												 IdentifierName INT_CACHE
												 IdentifierName ContainsKey
											 ArgumentList
												 Argument
													 IdentifierName value",Refactor,2
"
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName
						 MultiplyExpression
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName
","
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName c
						 MultiplyExpression
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName a
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName b",Remove,3
"
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName
						 MultiplyExpression
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName
","
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName c
						 MultiplyExpression
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName a
							 CastExpression
								 PredefinedType
								 ParenthesizedExpression
									 IdentifierName b",Remove,3
"
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName
						 AddExpression
							 CastExpression
								 PredefinedType
								 IdentifierName
							 CastExpression
								 PredefinedType
								 IdentifierName
","
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName c
						 AddExpression
							 CastExpression
								 PredefinedType
								 IdentifierName a
							 CastExpression
								 PredefinedType
								 IdentifierName b",Remove,3
"
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName
						 AddExpression
							 CastExpression
								 PredefinedType
								 IdentifierName
							 CastExpression
								 PredefinedType
								 IdentifierName
","
				 ExpressionStatement
					 AddAssignmentExpression
						 IdentifierName c
						 AddExpression
							 CastExpression
								 PredefinedType
								 IdentifierName a
							 CastExpression
								 PredefinedType
								 IdentifierName b",Remove,3
"
						 ThrowStatement
							 ObjectCreationExpression
								 IdentifierName
								 ArgumentList
									 Argument
										 StringLiteralExpression
","
						 ThrowStatement
							 ObjectCreationExpression
								 IdentifierName Exception
								 ArgumentList
									 Argument
										 StringLiteralExpression",Refactor,2
"
						 LocalDeclarationStatement
							 VariableDeclaration
								 PredefinedType
								 VariableDeclarator
									 EqualsValueClause
										 RightShiftExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 IdentifierName
															 IdentifierName
														 ArgumentList
															 Argument
																 InvocationExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName
																		 IdentifierName
																	 ArgumentList
																		 Argument
																			 IdentifierName
													 IdentifierName
												 ArgumentList
											 NumericLiteralExpression
","
						 LocalDeclarationStatement
							 VariableDeclaration
								 PredefinedType
								 VariableDeclarator
									 EqualsValueClause
										 RightShiftExpression
											 InvocationExpression
												 SimpleMemberAccessExpression
													 InvocationExpression
														 SimpleMemberAccessExpression
															 IdentifierName rem
															 IdentifierName Subtract
														 ArgumentList
															 Argument
																 InvocationExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName remDiv
																		 IdentifierName Multiply
																	 ArgumentList
																		 Argument
																			 IdentifierName radixToPower
													 IdentifierName ToInt
												 ArgumentList
											 NumericLiteralExpression",Remove,3
"
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 IdentifierName
						 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 IdentifierName T
						 IdentifierName T
				 VariableDeclarator",Adjustment,0
"
		 MethodDeclaration
			 GenericName
				 TypeArgumentList
					 IdentifierName
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
","
		 MethodDeclaration
			 GenericName
				 TypeArgumentList
					 IdentifierName T
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T",Rename,4
"
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 IdentifierName SarifLogAction
				 VariableDeclarator",Adjustment,0
"
		 FieldDeclaration
			 VariableDeclaration
				 ArrayType
					 PredefinedType
					 ArrayRankSpecifier
						 OmittedArraySizeExpression
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 ArrayType
					 PredefinedType
					 ArrayRankSpecifier
						 OmittedArraySizeExpression
				 VariableDeclarator",Adjustment,0
"
						 ReturnStatement
							 InvocationExpression
								 SimpleMemberAccessExpression
									 BaseExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 IdentifierName
","
						 ReturnStatement
							 InvocationExpression
								 SimpleMemberAccessExpression
									 BaseExpression
									 IdentifierName Equals
								 ArgumentList
									 Argument
										 IdentifierName obj",Remove,3
"
						 IfStatement
							 LogicalOrExpression
								 EqualsExpression
									 SimpleMemberAccessExpression
										 ThisExpression
										 IdentifierName
									 NullLiteralExpression
								 EqualsExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 IdentifierName
									 NullLiteralExpression
","
						 IfStatement
							 LogicalOrExpression
								 EqualsExpression
									 SimpleMemberAccessExpression
										 ThisExpression
										 IdentifierName Parameters
									 NullLiteralExpression
								 EqualsExpression
									 SimpleMemberAccessExpression
										 IdentifierName other
										 IdentifierName Parameters
									 NullLiteralExpression",Adjustment,0
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList",Refactor,2
"
						 ReturnStatement
							 InvocationExpression
								 SimpleMemberAccessExpression
									 BaseExpression
									 IdentifierName
								 ArgumentList
									 Argument
										 IdentifierName
","
						 ReturnStatement
							 InvocationExpression
								 SimpleMemberAccessExpression
									 BaseExpression
									 IdentifierName Equals
								 ArgumentList
									 Argument
										 IdentifierName obj",Remove,3
"
				 ForEachStatement
					 PredefinedType
					 SimpleMemberAccessExpression
						 IdentifierName
						 IdentifierName
","
				 ForEachStatement
					 PredefinedType
					 SimpleMemberAccessExpression
						 IdentifierName PropertiesDictionary
						 IdentifierName DefaultNamespaces",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName TermExpression",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName TermExpression",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 IdentifierName TermExpression",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 GenericName
						 TypeArgumentList
							 IdentifierName T
				 Parameter
					 IdentifierName BitArray",Rename,4
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
","
		 ClassDeclaration
			 TypeParameterList
				 TypeParameter",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
","
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
		 ClassDeclaration
			 TypeParameterList
				 TypeParameter
				 TypeParameter
			 BaseList
				 SimpleBaseType
					 GenericName
						 TypeArgumentList
							 IdentifierName V",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName V",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
		 ClassDeclaration
			 TypeParameterList
				 TypeParameter
				 TypeParameter
			 BaseList
				 SimpleBaseType
					 GenericName
						 TypeArgumentList
							 IdentifierName V",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName V",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
		 ClassDeclaration
			 TypeParameterList
				 TypeParameter
			 BaseList
				 SimpleBaseType
					 GenericName
						 TypeArgumentList
							 IdentifierName U",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName U",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
		 ClassDeclaration
			 TypeParameterList
				 TypeParameter
			 BaseList
				 SimpleBaseType
					 GenericName
						 TypeArgumentList
							 IdentifierName U",Refactor,2
"
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName
","
	 ClassDeclaration
		 TypeParameterList
			 TypeParameter
		 BaseList
			 SimpleBaseType
				 GenericName
					 TypeArgumentList
						 IdentifierName U",Refactor,2
"
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 GenericName
								 TypeArgumentList
									 PredefinedType
							 ArgumentList
							 CollectionInitializerExpression
								 StringLiteralExpression
","
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 GenericName
								 TypeArgumentList
									 PredefinedType
							 ArgumentList
							 CollectionInitializerExpression
								 StringLiteralExpression",Refactor,2
"
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 GenericName
								 TypeArgumentList
									 PredefinedType
							 ArgumentList
							 CollectionInitializerExpression
								 StringLiteralExpression
","
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 ObjectCreationExpression
							 GenericName
								 TypeArgumentList
									 PredefinedType
							 ArgumentList
							 CollectionInitializerExpression
								 StringLiteralExpression",Refactor,2
"
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 PredefinedType
			 ThisConstructorInitializer
				 ArgumentList
					 Argument
						 ParenthesizedLambdaExpression
							 ParameterList
							 InvocationExpression
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
								 ArgumentList
									 Argument
										 IdentifierName
","
		 ConstructorDeclaration
			 ParameterList
				 Parameter
					 PredefinedType
			 ThisConstructorInitializer
				 ArgumentList
					 Argument
						 ParenthesizedLambdaExpression
							 ParameterList
							 InvocationExpression
								 SimpleMemberAccessExpression
									 IdentifierName File
									 IdentifierName OpenRead
								 ArgumentList
									 Argument
										 IdentifierName filePath",Refactor,2
"
				 LocalDeclarationStatement
					 VariableDeclaration
						 PredefinedType
						 VariableDeclarator
							 EqualsValueClause
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 IdentifierName
									 ArgumentList
										 Argument
											 IdentifierName
										 Argument
											 NumericLiteralExpression
										 Argument
											 NumericLiteralExpression
","
				 LocalDeclarationStatement
					 VariableDeclaration
						 PredefinedType
						 VariableDeclarator
							 EqualsValueClause
								 InvocationExpression
									 SimpleMemberAccessExpression
										 IdentifierName stream
										 IdentifierName Read
									 ArgumentList
										 Argument
											 IdentifierName buffer
										 Argument
											 NumericLiteralExpression
										 Argument
											 NumericLiteralExpression",Remove,3
"
							 IfStatement
								 LogicalAndExpression
									 EqualsExpression
										 IdentifierName
										 FalseLiteralExpression
									 EqualsExpression
										 IdentifierName
										 TrueLiteralExpression
","
							 IfStatement
								 LogicalAndExpression
									 EqualsExpression
										 IdentifierName _currentlyNegative
										 FalseLiteralExpression
									 EqualsExpression
										 IdentifierName isNegative
										 TrueLiteralExpression",Remove,3
"
							 IfStatement
								 LogicalAndExpression
									 EqualsExpression
										 IdentifierName
										 FalseLiteralExpression
									 EqualsExpression
										 IdentifierName
										 TrueLiteralExpression
","
							 IfStatement
								 LogicalAndExpression
									 EqualsExpression
										 IdentifierName _currentlyNegative
										 FalseLiteralExpression
									 EqualsExpression
										 IdentifierName isNegative
										 TrueLiteralExpression",Remove,3
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 IdentifierName JsonContract
			 ParameterList
				 Parameter
					 IdentifierName Type",Rename,4
"
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 StringLiteralExpression
","
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 StringLiteralExpression",Refactor,2
"
												 SimpleAssignmentExpression
													 IdentifierName
													 ObjectCreationExpression
														 GenericName
															 TypeArgumentList
																 IdentifierName
														 ArgumentList
															 Argument
																 CoalesceExpression
																	 IdentifierName
																	 ArrayCreationExpression
																		 ArrayType
																			 IdentifierName
																			 ArrayRankSpecifier
																				 OmittedArraySizeExpression
																		 ArrayInitializerExpression
","
												 SimpleAssignmentExpression
													 IdentifierName Locations
													 ObjectCreationExpression
														 GenericName
															 TypeArgumentList
																 IdentifierName ThreadFlowLocation
														 ArgumentList
															 Argument
																 CoalesceExpression
																	 IdentifierName locations
																	 ArrayCreationExpression
																		 ArrayType
																			 IdentifierName ThreadFlowLocation
																			 ArrayRankSpecifier
																				 OmittedArraySizeExpression
																		 ArrayInitializerExpression",Refactor,2
"
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 FalseLiteralExpression
","
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 FalseLiteralExpression",Adjustment,0
"
									 Block
										 ExpressionStatement
											 SimpleAssignmentExpression
												 IdentifierName
												 InvocationExpression
													 SimpleMemberAccessExpression
														 IdentifierName
														 IdentifierName
													 ArgumentList
														 Argument
															 IdentifierName
										 ReturnStatement
											 ObjectCreationExpression
												 IdentifierName
												 ArgumentList
													 Argument
														 InvocationExpression
															 SimpleMemberAccessExpression
																 InvocationExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName
																		 IdentifierName
																	 ArgumentList
																 IdentifierName
															 ArgumentList
																 Argument
																	 SimpleLambdaExpression
																		 Parameter
																		 InvocationExpression
																			 SimpleMemberAccessExpression
																				 IdentifierName
																				 IdentifierName
																			 ArgumentList
","
									 Block
										 ExpressionStatement
											 SimpleAssignmentExpression
												 IdentifierName ja
												 InvocationExpression
													 SimpleMemberAccessExpression
														 IdentifierName JArray
														 IdentifierName Load
													 ArgumentList
														 Argument
															 IdentifierName reader
										 ReturnStatement
											 ObjectCreationExpression
												 IdentifierName StringSet
												 ArgumentList
													 Argument
														 InvocationExpression
															 SimpleMemberAccessExpression
																 InvocationExpression
																	 SimpleMemberAccessExpression
																		 IdentifierName ja
																		 IdentifierName Values
																	 ArgumentList
																 IdentifierName Select
															 ArgumentList
																 Argument
																	 SimpleLambdaExpression
																		 Parameter
																		 InvocationExpression
																			 SimpleMemberAccessExpression
																				 IdentifierName token
																				 IdentifierName ToString
																			 ArgumentList",Adjustment,0
"
											 Block
												 ExpressionStatement
													 SimpleAssignmentExpression
														 IdentifierName
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
															 ArgumentList
																 Argument
																	 IdentifierName
												 ReturnStatement
													 ObjectCreationExpression
														 IdentifierName
														 ArgumentList
															 Argument
																 InvocationExpression
																	 SimpleMemberAccessExpression
																		 InvocationExpression
																			 SimpleMemberAccessExpression
																				 IdentifierName
																				 IdentifierName
																			 ArgumentList
																		 IdentifierName
																	 ArgumentList
																		 Argument
																			 SimpleLambdaExpression
																				 Parameter
																				 InvocationExpression
																					 SimpleMemberAccessExpression
																						 PredefinedType
																						 IdentifierName
																					 ArgumentList
																						 Argument
																							 InvocationExpression
																								 SimpleMemberAccessExpression
																									 IdentifierName
																									 IdentifierName
																								 ArgumentList
","
											 Block
												 ExpressionStatement
													 SimpleAssignmentExpression
														 IdentifierName ja
														 InvocationExpression
															 SimpleMemberAccessExpression
																 IdentifierName JArray
																 IdentifierName Load
															 ArgumentList
																 Argument
																	 IdentifierName reader
												 ReturnStatement
													 ObjectCreationExpression
														 IdentifierName IntegerSet
														 ArgumentList
															 Argument
																 InvocationExpression
																	 SimpleMemberAccessExpression
																		 InvocationExpression
																			 SimpleMemberAccessExpression
																				 IdentifierName ja
																				 IdentifierName Values
																			 ArgumentList
																		 IdentifierName Select
																	 ArgumentList
																		 Argument
																			 SimpleLambdaExpression
																				 Parameter
																				 InvocationExpression
																					 SimpleMemberAccessExpression
																						 PredefinedType
																						 IdentifierName Parse
																					 ArgumentList
																						 Argument
																							 InvocationExpression
																								 SimpleMemberAccessExpression
																									 IdentifierName token
																									 IdentifierName ToString
																								 ArgumentList",Adjustment,0
"
						 ReturnStatement
							 ConditionalExpression
								 NotEqualsExpression
									 IdentifierName
									 NullLiteralExpression
								 InvocationExpression
									 SimpleMemberAccessExpression
										 SimpleMemberAccessExpression
											 IdentifierName
											 IdentifierName
										 IdentifierName
									 ArgumentList
								 ObjectCreationExpression
									 GenericName
										 TypeArgumentList
											 PredefinedType
									 ArgumentList
","
						 ReturnStatement
							 ConditionalExpression
								 NotEqualsExpression
									 IdentifierName Properties
									 NullLiteralExpression
								 InvocationExpression
									 SimpleMemberAccessExpression
										 SimpleMemberAccessExpression
											 IdentifierName Properties
											 IdentifierName Keys
										 IdentifierName ToList
									 ArgumentList
								 ObjectCreationExpression
									 GenericName
										 TypeArgumentList
											 PredefinedType
									 ArgumentList",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 PredefinedType
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 PredefinedType
				 Parameter
					 PredefinedType",Refactor,2
"
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 PredefinedType
			 ParameterList
				 Parameter
					 PredefinedType",Refactor,2
"
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 IdentifierName
						 PredefinedType
				 VariableDeclarator
","
		 FieldDeclaration
			 VariableDeclaration
				 GenericName
					 TypeArgumentList
						 IdentifierName ArtifactLocation
						 PredefinedType
				 VariableDeclarator",Remove,3
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 IdentifierName Run
			 ParameterList
				 Parameter
					 IdentifierName Run",Rename,4
"
						 IfStatement
							 GreaterThanOrEqualExpression
								 SimpleMemberAccessExpression
									 IdentifierName
									 IdentifierName
								 NumericLiteralExpression
","
						 IfStatement
							 GreaterThanOrEqualExpression
								 SimpleMemberAccessExpression
									 IdentifierName node
									 IdentifierName Index
								 NumericLiteralExpression",Refactor,2
"
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 NumericLiteralExpression
","
		 FieldDeclaration
			 VariableDeclaration
				 PredefinedType
				 VariableDeclarator
					 EqualsValueClause
						 NumericLiteralExpression",Adjustment,0
"
						 IfStatement
							 GreaterThanExpression
								 SimpleMemberAccessExpression
									 SimpleMemberAccessExpression
										 IdentifierName
										 IdentifierName
									 IdentifierName
								 IdentifierName
","
						 IfStatement
							 GreaterThanExpression
								 SimpleMemberAccessExpression
									 SimpleMemberAccessExpression
										 IdentifierName node
										 IdentifierName Results
									 IdentifierName Count
								 IdentifierName s_MaxResults",Refactor,2
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 IdentifierName Message
			 ParameterList
				 Parameter
					 IdentifierName Message",Rename,4
"
						 GotoStatement
							 IdentifierName
","
						 GotoStatement
							 IdentifierName Exit",Remove,3
"
								 IfStatement
									 InvocationExpression
										 SimpleMemberAccessExpression
											 IdentifierName
											 IdentifierName
										 ArgumentList
											 Argument
												 SimpleMemberAccessExpression
													 IdentifierName
													 IdentifierName
											 Argument
												 DeclarationExpression
													 IdentifierName
													 SingleVariableDesignation
","
								 IfStatement
									 InvocationExpression
										 SimpleMemberAccessExpression
											 IdentifierName fileLocation
											 IdentifierName TryReconstructAbsoluteUri
										 ArgumentList
											 Argument
												 SimpleMemberAccessExpression
													 IdentifierName _run
													 IdentifierName OriginalUriBaseIds
											 Argument
												 DeclarationExpression
													 IdentifierName Uri
													 SingleVariableDesignation",Refactor,2
"
													 CatchClause
														 CatchDeclaration
															 IdentifierName
														 Block
","
													 CatchClause
														 CatchDeclaration
															 IdentifierName ArgumentException
														 Block",Refactor,2
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 IdentifierName Message
			 ParameterList
				 Parameter
					 IdentifierName Message",Rename,4
"
								 ForEachStatement
									 IdentifierName
									 IdentifierName
","
								 ForEachStatement
									 IdentifierName Match
									 IdentifierName matches",Refactor,2
"
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName
										 VariableDeclarator
											 EqualsValueClause
												 ObjectCreationExpression
													 IdentifierName
													 ArgumentList
														 Argument
															 AddExpression
																 IdentifierName
																 StringLiteralExpression
														 Argument
															 SimpleMemberAccessExpression
																 IdentifierName
																 IdentifierName
","
								 LocalDeclarationStatement
									 VariableDeclaration
										 IdentifierName var
										 VariableDeclarator
											 EqualsValueClause
												 ObjectCreationExpression
													 IdentifierName Uri
													 ArgumentList
														 Argument
															 AddExpression
																 IdentifierName repoRootPath
																 StringLiteralExpression
														 Argument
															 SimpleMemberAccessExpression
																 IdentifierName UriKind
																 IdentifierName Absolute",Remove,3
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
		 ClassDeclaration
			 BaseList
				 SimpleBaseType
					 IdentifierName SarifRewritingVisitor",Refactor,2
"
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName
","
	 ClassDeclaration
		 BaseList
			 SimpleBaseType
				 IdentifierName SarifRewritingVisitor",Refactor,2
"
				 IfStatement
					 LogicalAndExpression
						 NotEqualsExpression
							 IdentifierName
							 NullLiteralExpression
						 GreaterThanExpression
							 SimpleMemberAccessExpression
								 IdentifierName
								 IdentifierName
							 UnaryMinusExpression
								 NumericLiteralExpression
","
				 IfStatement
					 LogicalAndExpression
						 NotEqualsExpression
							 IdentifierName artifactLocation
							 NullLiteralExpression
						 GreaterThanExpression
							 SimpleMemberAccessExpression
								 IdentifierName artifactLocation
								 IdentifierName Index
							 UnaryMinusExpression
								 NumericLiteralExpression",Adjustment,0
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
				 Parameter
					 IdentifierName
","
		 MethodDeclaration
			 IdentifierName SarifLog
			 ParameterList
				 Parameter
					 IdentifierName SarifLog",Rename,4
"
									 ThrowStatement
										 IdentifierName
","
									 ThrowStatement
										 IdentifierName ex",Refactor,2
"
		 MethodDeclaration
			 IdentifierName
			 ParameterList
				 Parameter
					 PredefinedType
","
		 MethodDeclaration
			 IdentifierName Encoding
			 ParameterList
				 Parameter
					 PredefinedType",Refactor,2
"
					 CatchClause
						 CatchDeclaration
							 IdentifierName
						 Block
","
					 CatchClause
						 CatchDeclaration
							 IdentifierName ArgumentException
						 Block",Refactor,2
